Symbol,Date,Close A
AMZN,9/18/2018 16:00:00,97.05
AMZN,9/19/2018 16:00:00,96.32
AMZN,9/20/2018 16:00:00,97.22
AMZN,9/21/2018 16:00:00,95.75
AMZN,9/24/2018 16:00:00,96.72
AMZN,9/25/2018 16:00:00,98.73
AMZN,9/26/2018 16:00:00,98.74
AMZN,9/27/2018 16:00:00,100.65
AMZN,9/28/2018 16:00:00,100.15
AMZN,10/1/2018 16:00:00,100.22
AMZN,10/2/2018 16:00:00,98.57
AMZN,10/3/2018 16:00:00,97.64
AMZN,10/4/2018 16:00:00,95.47
AMZN,10/5/2018 16:00:00,94.48
AMZN,10/8/2018 16:00:00,93.22
AMZN,10/9/2018 16:00:00,93.52
AMZN,10/10/2018 16:00:00,87.76
AMZN,10/11/2018 16:00:00,85.97
AMZN,10/12/2018 16:00:00,89.43
AMZN,10/15/2018 16:00:00,88.05
AMZN,10/16/2018 16:00:00,91
AMZN,10/17/2018 16:00:00,91.59
AMZN,10/18/2018 16:00:00,88.54
AMZN,10/19/2018 16:00:00,88.2
AMZN,10/22/2018 16:00:00,89.47
AMZN,10/23/2018 16:00:00,88.44
AMZN,10/24/2018 16:00:00,83.21
AMZN,10/25/2018 16:00:00,89.11
AMZN,10/26/2018 16:00:00,82.14
AMZN,10/29/2018 16:00:00,76.94
AMZN,10/30/2018 16:00:00,76.52
AMZN,10/31/2018 16:00:00,79.9
AMZN,11/1/2018 16:00:00,83.28
AMZN,11/2/2018 16:00:00,83.28
AMZN,11/5/2018 16:00:00,81.39
AMZN,11/6/2018 16:00:00,82.14
AMZN,11/7/2018 16:00:00,87.77
AMZN,11/8/2018 16:00:00,87.75
AMZN,11/9/2018 16:00:00,85.62
AMZN,11/12/2018 16:00:00,81.84
AMZN,11/13/2018 16:00:00,81.56
AMZN,11/14/2018 16:00:00,79.95
AMZN,11/15/2018 16:00:00,80.97
AMZN,11/16/2018 16:00:00,79.67
AMZN,11/19/2018 16:00:00,75.61
AMZN,11/20/2018 16:00:00,74.77
AMZN,11/21/2018 16:00:00,75.84
AMZN,11/23/2018 13:00:00,75.1
AMZN,11/26/2018 16:00:00,79.07
AMZN,11/27/2018 16:00:00,79.07
AMZN,11/28/2018 16:00:00,83.89
AMZN,11/29/2018 16:00:00,83.68
AMZN,11/30/2018 16:00:00,84.51
AMZN,12/3/2018 16:00:00,88.62
AMZN,12/4/2018 16:00:00,83.42
AMZN,12/6/2018 16:00:00,84.96
AMZN,12/7/2018 16:00:00,81.46
AMZN,12/10/2018 16:00:00,82.05
AMZN,12/11/2018 16:00:00,82.16
AMZN,12/12/2018 16:00:00,83.18
AMZN,12/13/2018 16:00:00,82.92
AMZN,12/14/2018 16:00:00,79.6
AMZN,12/17/2018 16:00:00,76.05
AMZN,12/18/2018 16:00:00,77.57
AMZN,12/19/2018 16:00:00,74.75
AMZN,12/20/2018 16:00:00,73.04
AMZN,12/21/2018 16:00:00,68.87
AMZN,12/24/2018 13:00:00,67.2
AMZN,12/26/2018 16:00:00,73.55
AMZN,12/27/2018 16:00:00,73.08
AMZN,12/28/2018 16:00:00,73.9
AMZN,12/31/2018 16:00:00,75.1
AMZN,1/2/2019 16:00:00,76.96
AMZN,1/3/2019 16:00:00,75.01
AMZN,1/4/2019 16:00:00,78.77
